LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,,,,,,
010,Alamance-Burlington Schools,3,0,23,0,0,0,0,18,87,5,53,0,0,4,7,0,200,22579,8.86,,,,,,
020,Alexander County Schools,0,0,7,1,0,0,0,3,13,0,2,0,0,0,0,0,26,4746,5.48,,,,,,
030,Alleghany County Schools,0,0,0,0,0,0,0,6,4,1,3,0,0,0,0,0,14,1332,10.51,,,,,,
040,Anson County Schools,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,11,3148,3.49,,,,,,
050,Ashe County Schools,1,0,3,1,0,0,0,0,10,0,2,0,0,0,0,0,17,2946,5.77,,,,,,
060,Avery County Schools,0,0,1,0,0,0,0,2,15,0,4,0,0,0,0,0,22,1910,11.52,,,,,,
070,Beaufort County Schools,0,0,0,0,0,0,0,2,17,0,9,0,0,0,0,0,28,6370,4.40,,,,,,
080,Bertie County Schools,0,0,1,0,0,0,0,4,13,0,3,0,0,0,0,0,21,2078,10.11,,,,,,
090,Bladen County Schools,0,0,0,0,0,0,0,1,7,0,4,0,0,0,0,0,12,4120,2.91,,,,,,
100,Brunswick County Schools,0,0,16,0,0,0,0,23,15,0,13,0,0,0,0,0,67,12383,5.41,,,,,,
110,Buncombe County Schools,0,0,8,0,0,0,0,19,179,1,29,0,0,0,0,0,236,23460,10.06,,,,,,
111,Asheville City Schools,0,0,5,0,0,0,0,1,12,0,10,0,0,0,0,0,28,4281,6.54,,,,,,
120,Burke County Schools,0,1,7,1,0,0,0,24,23,0,6,0,0,0,0,0,62,11820,5.25,,,,,,
130,Cabarrus County Schools,0,0,8,0,0,0,0,12,46,3,40,0,0,4,0,0,113,32949,3.43,,,,,,
132,Kannapolis City Schools,0,0,1,0,0,0,0,1,10,1,4,0,0,0,0,0,17,5369,3.17,,,,,,
140,Caldwell County Schools,0,0,137,0,0,0,0,8,40,0,12,0,0,1,1,0,199,11236,17.71,,,,,,
150,Camden County Schools,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,1854,2.70,,,,,,
160,Carteret County Public Schools,3,0,20,2,1,0,0,5,20,2,11,0,0,1,6,0,71,7986,8.89,,,,,,
170,Caswell County Schools,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,11,2425,4.54,,,,,,
180,Catawba County Schools,0,0,9,0,0,0,0,27,41,0,16,0,0,0,2,0,95,15724,6.04,,,,,,
181,Hickory City Schools,0,0,0,1,0,0,0,2,13,1,6,0,0,0,0,0,23,4042,5.69,,,,,,
182,Newton Conover City Schools,0,0,0,0,0,0,0,6,7,0,4,0,0,0,0,0,17,2939,5.78,,,,,,
190,Chatham County Schools,0,0,4,0,0,0,0,10,26,1,15,0,0,0,0,0,56,8809,6.36,,,,,,
200,Cherokee County Schools,0,0,2,0,0,0,0,11,4,0,0,0,0,0,1,0,18,3113,5.78,,,,,,
210,Edenton-Chowan Schools,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,1935,2.58,,,,,,
220,Clay County Schools,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,5,1274,3.92,,,,,,
230,Cleveland County Schools,3,0,13,0,0,0,0,9,80,0,22,0,0,0,1,0,128,14216,9.00,,,,,,
240,Columbus County Schools,0,0,4,0,0,0,0,1,10,0,9,0,0,0,0,0,24,5475,4.38,,,,,,
241,Whiteville City Schools,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,7,2196,3.19,,,,,,
250,Craven County Schools,0,1,52,0,1,0,0,7,33,1,30,1,0,1,0,0,127,13329,9.53,,,,,,
260,Cumberland County Schools,0,6,132,0,0,0,0,20,152,4,103,0,0,3,0,0,420,49503,8.48,,,,,,
270,Currituck County Schools,0,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,7,4049,1.73,,,,,,
280,Dare County Schools,0,0,1,0,0,0,0,2,9,0,2,0,0,0,0,0,14,5108,2.74,,,,,,
290,Davidson County Schools,4,3,28,1,0,0,0,27,47,3,37,0,0,2,0,0,152,18620,8.16,,,,,,
291,Lexington City Schools,1,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,8,2973,2.69,,,,,,
292,Thomasville City Schools,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,10,2254,4.44,,,,,,
295,Innovative School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0.00,,,,,,
300,Davie County Schools,0,0,4,0,0,0,0,2,2,0,3,0,0,0,0,0,11,6100,1.80,,,,,,
310,Duplin County Schools,0,0,5,0,0,0,0,14,11,0,5,0,0,0,0,0,35,9450,3.70,,,,,,
320,Durham Public Schools,0,6,24,2,0,0,0,22,158,4,89,0,0,11,0,0,316,32256,9.80,,,,,,
330,Edgecombe County Public Schools,0,0,1,0,0,0,0,0,34,1,22,0,0,0,0,0,58,5753,10.08,,,,,,
340,Winston Salem/Forsyth County Schools,3,2,128,2,2,0,0,49,228,13,109,0,1,4,2,0,543,53475,10.15,,,,,,
350,Franklin County Schools,0,0,18,0,0,0,0,3,38,0,29,0,0,0,0,0,88,8061,10.92,,,,,,
360,Gaston County Schools,0,0,4,2,0,0,0,4,45,0,9,0,0,0,0,0,64,30857,2.07,,,,,,
370,Gates County Schools,0,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,16,1618,9.89,,,,,,
380,Graham County Schools,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,8,1093,7.32,,,,,,
390,Granville County Schools,0,1,6,0,0,0,0,4,27,3,18,0,0,0,3,0,62,7314,8.48,,,,,,
400,Greene County Schools,0,0,2,0,0,0,0,2,11,0,0,0,0,0,0,0,15,2885,5.20,,,,,,
410,Guilford County Schools,33,4,69,0,3,0,1,33,311,13,108,0,0,13,10,0,598,71029,8.42,,,,,,
420,Halifax County Schools,0,0,3,0,0,0,0,0,7,0,2,0,0,0,0,0,12,2303,5.21,,,,,,
421,Roanoke Rapids City Schools,0,0,0,0,0,0,0,2,4,0,2,0,0,0,2,0,10,2795,3.58,,,,,,
422,Weldon City Schools,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,799,1.25,,,,,,
430,Harnett County Schools,1,0,11,2,0,0,0,10,48,1,25,0,0,0,0,0,98,20097,4.88,,,,,,
440,Haywood County Schools,1,0,3,0,0,0,0,16,32,0,12,0,0,0,0,0,64,7026,9.11,,,,,,
450,Henderson County Schools,0,0,5,0,0,0,0,3,49,0,2,0,0,0,1,0,60,13151,4.56,,,,,,
460,Hertford County Schools,0,0,3,0,0,0,0,1,4,0,3,0,0,0,0,0,11,2682,4.10,,,,,,
470,Hoke County Schools,1,0,9,0,0,0,0,1,23,1,7,0,0,0,0,0,42,8696,4.83,,,,,,
480,Hyde County Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0.00,,,,,,
490,Iredell-Statesville Schools,2,0,11,1,0,0,0,16,54,2,14,0,0,2,2,0,104,20155,5.16,,,,,,
491,Mooresville Graded School District,1,0,4,1,0,0,0,12,12,1,3,0,0,1,0,0,35,5966,5.87,,,,,,
500,Jackson County Public Schools,0,0,4,0,0,0,0,0,15,1,3,0,0,0,0,0,23,3584,6.42,,,,,,
510,Johnston County Schools,0,0,12,2,0,0,0,11,68,1,43,0,0,0,0,0,137,36210,3.78,,,,,,
