LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,LEA_CODE,LEA_Name,d_Total,d_Female,d_Male,d_Asian,d_Black,d_Hispanic,d_American_Indian,d_Two-or-More-Races,d_NHPI,d_White,District_Name,Growth_AIG,All Students,Growth_American Indian,Growth_Asian,Growth_Black,Growth_ED,Growth_ELL,Growth_Hispanic,Growth_SwD,Growth_MultiRacial,Growth_White
10,Alamance-Burlington Schools,3,0,23,0,0,0,0,18,87,5,53,0,0,4,7,0,200,22579,8.86,,,,,,,10,Alamance-Burlington Schools,231.0,88.0,143.0,1.0,59.0,61.0,0.0,8.0,0.0,102.0,Alamance-Burlington Schools,0.7171428571428571,0.05000000000000001,,,-0.021428571428571463,-0.39571428571428574,-0.007999999999999962,0.9985714285714284,-1.0133333333333334,-0.04833333333333336,-0.7585714285714286
20,Alexander County Schools,0,0,7,1,0,0,0,3,13,0,2,0,0,0,0,0,26,4746,5.48,,,,,,,20,Alexander County Schools,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Alexander County Schools,1.94,-1.51,,,-0.75,-2.45,,-0.96,-0.4,-0.04,-1.27
30,Alleghany County Schools,0,0,0,0,0,0,0,6,4,1,3,0,0,0,0,0,14,1332,10.51,,,,,,,30,Alleghany County Schools,8.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,Alleghany County Schools,-1.13,-1.96,,,,-1.04,,-0.03,-2.02,,-2.27
40,Anson County Schools,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,11,3148,3.49,,,,,,,40,Anson County Schools,34.0,16.0,18.0,0.0,16.0,2.0,0.0,3.0,0.0,13.0,Anson County Schools,-1.885,-2.04,,,-1.54,-1.5233333333333334,,-1.34,-1.9,,-1.855
50,Ashe County Schools,1,0,3,1,0,0,0,0,10,0,2,0,0,0,0,0,17,2946,5.77,,,,,,,50,Ashe County Schools,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Ashe County Schools,-3.59,-9.07,,,,-7.99,-0.68,-2.01,-5.31,,-9.37
60,Avery County Schools,0,0,1,0,0,0,0,2,15,0,4,0,0,0,0,0,22,1910,11.52,,,,,,,60,Avery County Schools,15.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,Asheboro City Schools,0.19,1.95,,,2.06,1.56,-1.12,1.76,-0.74,0.21,-0.19
70,Beaufort County Schools,0,0,0,0,0,0,0,2,17,0,9,0,0,0,0,0,28,6370,4.4,,,,,,,70,Beaufort County Schools,60.0,21.0,39.0,0.0,21.0,8.0,0.0,1.0,0.0,30.0,Asheville City Schools,-2.53,-1.5750000000000002,,,-0.695,-0.945,,0.18,-1.68,-1.01,-1.1949999999999998
80,Bertie County Schools,0,0,1,0,0,0,0,4,13,0,3,0,0,0,0,0,21,2078,10.11,,,,,,,80,Bertie County Schools,22.0,8.0,14.0,0.0,16.0,1.0,0.0,1.0,0.0,4.0,Avery County Schools,1.66,-2.71,,,,-1.7,,-1.23,-1.23,,-2.82
90,Bladen County Schools,0,0,0,0,0,0,0,1,7,0,4,0,0,0,0,0,12,4120,2.91,,,,,,,90,Bladen County Schools,31.0,16.0,15.0,0.0,7.0,6.0,0.0,5.0,0.0,13.0,Beaufort County Schools,1.2833333333333334,-0.2849999999999999,,,-0.2975,0.29749999999999993,0.4,-0.006666666666666672,0.0,,-0.81
100,Brunswick County Schools,0,0,16,0,0,0,0,23,15,0,13,0,0,0,0,0,67,12383,5.41,,,,,,,110,Buncombe County Schools,133.0,44.0,89.0,1.0,11.0,28.0,1.0,6.0,0.0,86.0,Bertie County Schools,,-0.4149999999999998,,,-0.6300000000000001,-0.8949999999999999,,,-1.45,,0.0050000000000000044
110,Buncombe County Schools,0,0,8,0,0,0,0,19,179,1,29,0,0,0,0,0,236,23460,10.06,,,,,,,111,Asheville City Schools,21.0,9.0,12.0,0.0,9.0,1.0,0.0,1.0,0.0,10.0,Bladen County Schools,0.6599999999999999,-0.485,,,-0.5499999999999999,-0.835,,0.225,-0.94,-0.48,0.014999999999999987
111,Asheville City Schools,0,0,5,0,0,0,0,1,12,0,10,0,0,0,0,0,28,4281,6.54,,,,,,,120,Burke County Schools,45.0,10.0,35.0,1.0,6.0,17.0,0.0,0.0,0.0,21.0,Brunswick County Schools,0.91,0.62,,,-0.34,-0.2925,-0.34,0.12500000000000006,-1.7933333333333332,0.8300000000000001,0.5199999999999998
120,Burke County Schools,0,1,7,1,0,0,0,24,23,0,6,0,0,0,0,0,62,11820,5.25,,,,,,,130,Cabarrus County Schools,189.0,55.0,134.0,0.0,57.0,55.0,0.0,7.0,1.0,69.0,Buncombe County Schools,1.71375,2.3677777777777784,,,0.10666666666666667,0.7788888888888889,1.7766666666666666,1.4514285714285715,-0.14857142857142858,0.4525,2.1500000000000004
130,Cabarrus County Schools,0,0,8,0,0,0,0,12,46,3,40,0,0,4,0,0,113,32949,3.43,,,,,,,132,Kannapolis City Schools,44.0,16.0,28.0,0.0,11.0,15.0,0.0,2.0,0.0,16.0,Burke County Schools,0.17250000000000004,0.4774999999999999,,0.7966666666666665,-0.78,0.375,0.6666666666666666,0.4674999999999999,-0.6150000000000001,1.245,-0.04500000000000004
132,Kannapolis City Schools,0,0,1,0,0,0,0,1,10,1,4,0,0,0,0,0,17,5369,3.17,,,,,,,140,Caldwell County Schools,88.0,47.0,41.0,0.0,4.0,12.0,0.0,6.0,0.0,66.0,Cabarrus County Schools,1.0475,2.2725,,2.025,1.55,0.70375,0.54,0.7699999999999999,-0.9042857142857142,0.7879999999999999,1.27
